Location,Sample,Ang-1,Ang-2,Azu,CHI3L1,CRP,IL-10,IL-6,IL-8,IP-10,MxA,sTNFR-1,sTREM-1,TRAIL
"83(1,C11)",Unknown83,67,86,1502,32,603,63,37,72,51,36,175,158,43
"84(1,D11)",Unknown84,66,58,1392.5,31,519,59,36,81,49,33,162,150,45
"85(1,E11)",Unknown85,68.5,53.5,1467.5,32,607,65,36,72,51,35,184,161.5,43
"86(1,F11)",Unknown86,65,47,1473,30,462.5,55.5,36,71,45,34.5,169,157,41
"87(1,G11)",Unknown87,64,44,1521,30,522,57,37,64,48,33,173,156,41
"88(1,H11)",Unknown88,71,51,1527,32,564,63,37,76,49,34,197,185,43
"89(1,A12)",Unknown89,76,965,1291.5,31,606,69,45,70,57,36,150.5,128,44
"90(1,B12)",Unknown90,64,176.5,1357,32,532.5,60,36,75,47,34,158,144,45
"91(1,C12)",Unknown91,66,83,1464,30,482,57,36,68,46,34.5,177,152.5,42
"92(1,D12)",Unknown92,64.5,55,1475.5,29,434,57,35,66,46,33,159,145.5,41
"93(1,E12)",Unknown93,68,45,1481,29,451,55,35,73.5,46,34,171,156,40
"94(1,F12)",Unknown94,70,44,1542,29,458,55,34,61,46,33,172,157,43
"95(1,G12)",Unknown95,78.5,51,1583.5,31,507.5,61.5,36,64,51,35,244.5,198,46.5
"96(1,H12)",Unknown96,61,45,1408.5,29,397,53,34,59.5,44,32,158,141,37
